energy_100g,sugars_100g,fat_100g,saturated_fat_100g,proteins_100g,salt_100g,sodium_100g,fiber_100g,carbohydrates_100g,trans_fat_100g,cholesterol_100g,vitamin_a_100g,vitamin_c_100g,calcium_100g,iron_100g,potassium_100g,nova_group,additives_n,label,sugar_energy_ratio,fat_energy_ratio,protein_energy_ratio,fiber_carb_ratio,sugar_fiber_ratio,fat_protein_ratio,salt_energy_ratio,sat_fat_ratio,sat_fat_energy_ratio,unsat_fat_100g,trans_fat_ratio,sodium_salt_ratio,micronutrient_density,negative_score,positive_score,health_balance,energy_density,has_palm_oil,additives_risk
984.0,0.0,21.0,15.0,8.0,0.46,0.184,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Unhealthy,0.0,0.02131979695431472,0.008121827411167513,0.0,0.0,2.3333333333333335,0.000467005076142132,0.6818181818181818,0.015228426395939087,6.0,0.0,0.12602739726027398,0.0,40.6,8.0,-32.6,1.0,0,1.0
1061.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Healthy,0.0,0.01694915254237288,0.009416195856873822,0.0,0.0,1.6363636363636365,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,10.0,-8.0,1.0,0,0.0
1913.0,12.0,19.0,2.0,8.5,0.0,0.0,10.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,4.0,1.0,Healthy,0.006269592476489028,0.009926854754440962,0.004440961337513062,0.1724137931034483,1.0909090909090908,2.0,0.0,0.1,0.0010449320794148381,17.0,0.0,0.0,1.09717868338558e-06,33.0,18.5,-14.5,2.0,0,1.0
1631.0,2.6,2.8,0.6,13.4,0.68,0.272,4.4,75.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,3.0,0.0,Healthy,0.0015931372549019608,0.001715686274509804,0.00821078431372549,0.05789473684210527,0.48148148148148145,0.19444444444444442,0.0004166666666666667,0.15789473684210525,0.0003676470588235294,2.1999999999999997,0.0,0.1619047619047619,2.3284313725490195e-06,12.8,17.8,5.0,2.0,0,0.0
1032.0,6.0,21.0,12.0,9.0,1.5,0.6,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Unhealthy,0.005808325266214908,0.02032913843175218,0.008712487899322363,0.42857142857142855,1.5,2.1,0.001452081316553727,0.5454545454545454,0.011616650532429816,9.0,0.0,0.24,0.0,54.0,12.0,-42.0,1.0,0,1.0
1178.0,3.6,6.8,0.5,7.7,1.1,0.44,8.1,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Healthy,0.0030534351145038168,0.005767599660729431,0.006530958439355386,0.18409090909090908,0.39560439560439564,0.7816091954022989,0.0009329940627650552,0.06410256410256411,0.00042408821034775233,6.3,0.0,0.20952380952380953,0.0,21.9,15.8,-6.099999999999998,1.0,0,0.0
165.0,7.0,0.0,0.0,0.0,0.126,0.0504,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,Unhealthy,0.04216867469879518,0.0,0.0,0.3,1.75,0.0,0.0007590361445783132,0.0,0.0,0.0,0.0,0.044760213143872116,0.0,8.26,3.0,-5.26,0.0,0,3.0
1111.0,2.9,5.2,0.4,8.5,1.1,0.44,7.5,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Healthy,0.002607913669064748,0.004676258992805756,0.007643884892086331,0.1744186046511628,0.3411764705882353,0.5473684210526316,0.0009892086330935252,0.06451612903225806,0.00035971223021582735,4.8,0.0,0.20952380952380953,0.0,19.5,16.0,-3.5,1.0,0,0.0
932.0,3.0,24.0,14.0,5.0,0.32,0.128,0.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Unhealthy,0.003215434083601286,0.02572347266881029,0.0053590568060021436,0.025,2.727272727272727,4.0,0.0003429796355841372,0.56,0.015005359056806002,10.0,0.0,0.09696969696969697,0.0,44.2,5.1,-39.1,1.0,0,0.0
1306.0,4.9,8.6,0.9,9.2,1.0,0.4,4.0,47.0,0.0,0.0,0.0,0.0,0.0420168067226891,0.0,0.448179271708683,4.0,1.0,Moderate,0.0037490436113236424,0.006579954093343534,0.007039020657995409,0.08333333333333333,0.9800000000000001,0.8431372549019608,0.0007651109410864575,0.09375,0.0006885998469778118,7.699999999999999,0.0,0.2,0.00037505438288551804,24.4,13.204481792717086,-11.195518207282912,2.0,0,1.0
