product_name,energy_100g,sugars_100g,fat_100g,saturated_fat_100g,proteins_100g,salt_100g,sodium_100g,fiber_100g,carbohydrates_100g,trans_fat_100g,cholesterol_100g,vitamin_a_100g,vitamin_c_100g,calcium_100g,iron_100g,potassium_100g,nova_group,additives_n,ingredients_from_palm_oil_n,nutrition_grade
Fromage Blanc Nature,662.0,,11.0,,5.0,,,,10.0,,,,,,,,3.0,0.0,0.0,unknown
Jben,984.0,0.0,21.0,15.0,8.0,0.46,0.184,0.0,3.5,,,,,,,,4.0,1.0,0.0,d
Cream cheese,1061.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,3.1,,,,,,,,3.0,0.0,0.0,a
cruesly mélange de noix,1913.0,12.0,19.0,2.0,8.5,0.0,0.0,10.0,57.0,,,,,,0.0021,,4.0,1.0,0.0,b
Tartines craquantes au sarrasin imp,1631.0,2.6,2.8,0.6,13.4,0.68,0.272,4.4,75.0,,,,,,0.0038,,3.0,0.0,0.0,a
Cheddar,1032.0,6.0,21.0,12.0,9.0,1.5,0.6,,6.0,,,,,,,,4.0,1.0,,d
Pain de mie american sandwich complet sans sucres ajoutés 600g,1178.0,3.6,6.8,0.5,7.7,1.1,0.44,8.1,43.0,,,,,,,,4.0,0.0,,b
Cappy PULPY,165.0,7.0,0.0,0.0,0.0,0.126,0.0504,,9.0,,,,,,,,4.0,8.0,0.0,e
14 Maxi Tranches complet sans sucres ajoutés,1111.0,2.9,5.2,0.4,8.5,1.1,0.44,7.5,42.0,,,,,,,,4.0,0.0,0.0,a
Goldium crémeux,932.0,3.0,24.0,14.0,5.0,0.32,0.128,0.1,3.0,,,,,,,,4.0,0.0,,d
Pain de mie Bio grandes tranches céréales & graines 500g,1306.0,4.9,8.6,0.9,9.2,1.0,0.4,4.0,47.0,,,0.0,0.0,0.0420168067226891,0.0,0.448179271708683,4.0,1.0,0.0,c
Frommage fondu,1248.0,4.0,26.0,16.5,7.0,1.2,0.48,0.0,9.0,,,,,,,,3.0,0.0,,d
Assil vanille,399.0,8.0,2.7,1.8,3.4,0.0,0.0,2.0,14.0,,,,,0.0,,,,0.0,0.0,c
Carré Frais,360.0,2.9,0.3,0.2,16.0,1.3,0.52,,4.5,,,,,0.17,,,3.0,0.0,0.0,b
كيفير,173.0,0.0,2.5,1.8,3.0,0.0,0.0,,4.8,,,,,0.13,,,1.0,0.0,,b
Jamila رايبي,306.0,9.0,1.7,1.1,1.9,0.0,0.0,0.0,12.4,,,,,,,,4.0,0.0,0.0,e
Flocons d'avoine,1524.0,1.7,7.1,1.3,11.0,0.02,0.008,11.0,58.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,a
le blanc nature 900g araai,991.6,0.0,23.5,0.0,4.9,0.0,0.0,0.0,4.9,,,,,,,,3.0,0.0,,a
Almonds natural,2567.0,4.8,53.3,4.3,24.5,0.01,0.004,12.1,4.8,,,,,,,,1.0,0.0,0.0,a
"Muesli Superfruits Raisins, cassis, cranberry, myrtille",1526.0,13.0,6.0,0.857142857142857,12.0,0.04,0.016,10.0,60.0,,,,,,,,3.0,0.0,0.0,a
BjORG AMANDE ALMOND SANS SUCRE- NO SUGAR,102.0,0.5,1.7,0.2,0.7,0.05,0.02,0.5,1.6,,,,,0.06,,,4.0,2.0,0.0,b
Avoine - Boisson biologique,187.0,4.0,1.5,0.3,0.5,0.09,0.036,0.5,7.0,,,,,,,,3.0,0.0,0.0,c
Cashew Nuts,2488.0,6.5,47.6,9.0,20.5,0.02,0.008,5.2,19.8,,,0.0,0.0,,0.0,,1.0,0.0,0.0,b
Levure de bière,1356.0,1.2,4.6,0.8,46.0,0.32,0.128,25.0,12.0,,,,,,,,1.0,0.0,0.0,not-applicable
b,942.0,4.3,21.0,14.0,5.4,0.75,0.3,0.2,4.3,,,,,,,,,1.0,,d
100% mie complet 500g,1053.0,5.5,4.3,0.4,7.5,1.1,0.44,6.5,42.0,,,0.0,0.0,,0.0,,4.0,0.0,0.0,b
fromage herbes milky food,953.0,0.0,21.0,0.0,4.8,0.0,0.0,0.0,4.0,,,,,,,,3.0,0.0,,b
Protein Cacahuetes🥜 & Chocolat🍫,2038.0,17.2,28.3,7.4,25.6,0.94,0.376,11.0,27.5,,,,,0.0,0.0,,4.0,3.0,0.0,not-applicable
Chocolate con leche y almendras,2181.33333333333,0.0,32.0,26.6666666666667,5.33333333333333,0.28,0.112,0.0,53.3333333333333,0.0,0.0,,,0.0,0.0,0.0,4.0,1.0,1.0,d
St Môret,851.0,3.0,17.8,13.2,8.3,1.2,0.48,,3.0,,,,,,,,4.0,0.0,0.0,d
Harrys brioche tressee nature au sucre perle sans additifs 500g,1496.0,13.0,13.0,1.0,8.6,0.8,0.32,4.5,49.0,,,,,,,,4.0,0.0,0.0,c
Pain de mie american sandwich rustique sans sucres ajoutés 500g,1233.0,3.0,8.0,0.8,11.0,1.0,0.4,8.7,40.0,,,,,,,,4.0,0.0,0.0,a
Muesli avoine chocolat bio,1629.6,8.2,8.8,3.3,12.0,0.1,0.04,10.0,60.0,,,,,,,,4.0,1.0,0.0,a
CORN FLAKES,1604.0,8.0,0.9,0.2,7.0,1.1,0.44,3.0,84.0,0.0,0.0,,,,0.008,,3.0,0.0,0.0,d
Hule D'olive,4.0,0.0,90.0,13.0,0.0,0.0,0.0,66.0,0.0,,,,,,,,,0.0,0.0,b
رايبي جودة,324.08,13.5,1.38,0.8,2.48,0.0,0.0,0.0,13.58,,,,,,,,,1.0,0.0,e
غلال القمح,4.0,7.5,3.0,2.2,3.5,0.0,0.0,1.1,16.0,,,,,,,,4.0,0.0,0.0,c
Menguy's Beurre de cacahuètes creamy,2607.0,8.7,52.0,9.5,25.0,0.86,0.344,6.7,12.0,,,,,,,,3.0,0.0,0.0,c
Beau & bon Céréales & graines,1206.0,3.5,6.5,0.7,12.0,1.0,0.4,6.0,42.0,,,,,,,,4.0,0.0,0.0,b
Lightly sea salted crisps,1981.4,0.64,27.0,2.4,6.2,0.83,0.332,5.5,49.0,,,0.0,0.0,,0.0,,3.0,0.0,0.0,c
Marmite Yeast Extract,1100.0,1.2,0.5,0.1,34.0,10.8,4.32,,30.0,,,0.0,0.0,,0.0,,4.0,0.0,0.0,e
Houmous extra - Pois chiches français & graines de sésame,1306.0,0.1,26.8,2.6,6.9,1.16,0.464,6.15,8.7,,,,,,,,3.0,1.0,0.0,c
Aïn Soltane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.07,,0.001,,0.0,,a
Almond Drink Sugar-Free,56.0,0.0,1.2,0.1,0.5,0.15,0.06,0.2,0.0,,,,,,,,4.0,1.0,0.0,b
Croissance réduit en sucre,270.0,0.8,2.6,0.0,2.5,0.0775,0.031,0.0,7.7,,,6.5e-05,0.009,0.08,0.0012,0.127,4.0,1.0,0.0,not-applicable
Pain de mie american sandwich complet sans sucres ajoutés maxi 900g,1178.0,3.6,6.8,0.5,7.7,1.1,0.44,8.1,43.0,,,,,,,,4.0,0.0,,b
Pringles Original,2227.0,1.4,31.0,6.6,5.9,1.1,0.44,3.5,56.0,,,,,,,,4.0,2.0,1.0,d
Tartines craquantes sarrasin,1569.9,1.5,1.7,0.4,12.0,0.48,0.192,3.5,75.0,,,,,,,,3.0,0.0,0.0,b
Pain complet 3 céréales,824.0,2.0,2.9,0.4,5.0,1.1,0.44,11.0,32.0,,,,,,,,3.0,0.0,0.0,a
pain grillé pelletier,1636.0,2.6,4.9,2.1,12.0,1.8,0.72,5.1,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,d
"Muesli bio 36% fruits, noix & graines",1569.0,18.9,8.4,2.8,9.3,0.03,0.012,8.5,60.7,,,,,,0.0024,0.688,1.0,0.0,0.0,c
Biscottes 6 Céréales,1686.0,3.2,7.6,2.3,13.0,1.6,0.64,5.2,67.0,,,,,,,,4.0,3.0,1.0,d
Tartine sans huile de palme,1294.0,0.5,35.0,7.6,0.5,0.2,0.08,,0.5,,,0.0008,,,,,4.0,1.0,0.0,c
Activia Céréales,435.24,14.3,3.3,2.0,3.4,0.0,0.0,1.53,14.3,,,,,,,,4.0,1.0,0.0,c
Amande,131.1,3.3,1.2,0.2,0.5,0.06,0.024,,4.6,,,,,,,,3.0,0.0,0.0,c
Country Crisp - Chocolat noir 70% cacao,1874.0,22.0,15.0,3.8,9.0,0.03,0.012,5.8,65.0,,,,,,0.0038,,4.0,1.0,0.0,d
Chocolat noir Equateur Bio,2641.0,14.0,55.3,34.0,9.0,0.01,0.004,11.5,20.6,,,,,,,,2.0,0.0,0.0,d
Carottes rapees citron dnp 320g,301.0,4.5,4.5,0.3,1.0,0.71,0.291,3.0,5.5,,,,,,,,4.0,3.0,0.0,a
Jason’s sourdough,974.2,2.4,0.8,0.1,10.1,0.905,0.362,2.9,44.1,,,,,,,,3.0,0.0,0.0,b
ベイクドビーンズ,336.2,5.0,0.2,0.1,4.7,0.59,0.236,3.7,12.9,,,,,,,,4.0,0.0,0.0,a
Fromage blanc nature,941.4,,21.0,,3.8,0.0,0.0,0.0,3.6,,,,,,,,1.0,0.0,,unknown
Poudre stevia,7.0,0.0,0.2,0.2,0.0,0.0,0.0,,99.0,,,,,,,,4.0,2.0,0.0,not-applicable
GALETTES EXTRA-FINES MAΪS,1612.0,0.8,4.0,0.5,9.2,0.3,0.12,6.2,74.0,,,0.0,0.0,,0.0,,3.0,0.0,0.0,a
Oméga 3® Doux,1924.0,0.0,52.0,17.0,0.0,0.4125,0.165,,0.0,,,,,,,,4.0,4.0,0.0,d
Krisprolls complets,1687.0,7.0,6.2,2.1,12.0,1.6,0.64,7.7,70.0,,,,,,,,3.0,0.0,0.0,d
مارغرين المائدة,2826.0,0.0,75.0,34.0,0.1,0.5,0.2,0.0,0.2,0.0,,,,,,,4.0,7.0,,d
Extra moelleux nature,1202.0,6.5,5.2,0.5,8.1,1.18,0.472,5.0,47.1,,,,,,,,4.0,0.0,0.0,c
Skyr,245.2,3.6,0.5,0.1,9.5,0.15,0.06,0.5,3.6,,,0.0,0.0,,0.0,,1.0,0.0,0.0,a
Kiri carré 8p,950.0,2.0,20.0,13.0,9.0,1.6,0.64,,3.5,,,,,0.5,,,4.0,4.0,,d
Cuites au four nature,1860.0,5.3,13.0,1.4,5.9,0.84,0.336,6.2,73.0,,,,,,,,4.0,2.0,0.0,c
برس اب الخوخ جودة 1لتر,151.2,4.5,0.0,0.0,0.1,0.0025,0.001,0.2,8.7,,,,0.028,,,,4.0,1.0,0.0,b
Grilletines blé complet,1760.0,7.3,10.0,2.0,13.0,0.87,0.348,6.7,65.0,,,,,,,,4.0,2.0,0.0,c
Wraps,1264.0,2.1,5.2,1.2,9.1,1.0,0.4,1.6,53.2,,,,,,,,4.0,4.0,0.0,c
Pâte d'arachide,2435.0,11.2,48.2,14.0,24.3,0.7,0.28,6.5,24.8,,,,,,,,4.0,0.0,,c
Granola Chocolat,1765.0,12.0,13.0,3.1,10.0,0.01,0.004,7.5,62.0,,,,,,,,4.0,1.0,0.0,c
Lentilles préparées 1/2,394.0,0.5,0.5,0.1,6.6,0.76,0.304,3.1,14.0,,,0.0,0.0,,0.0,,4.0,1.0,0.0,b
Croustillant 3 noix,1847.0,14.0,17.0,2.1,11.0,0.02,0.008,9.9,56.0,,,0.0,0.0,,0.0,,4.0,2.0,0.0,b
Tranches Au Goût Cheddar,789.0,0.0,8.0,10.0,8.0,3.25,1.3,,21.0,,,,,,,,,0.0,,e
Merguez Végétale,913.0,0.6,16.0,1.3,12.0,0.74,0.296,6.1,4.8,,,,,,,,4.0,3.0,0.0,a
